산출기준,연도,질환구분,성별,연령,등록건수
신규등록자,2015,중증화상,남,0~4,983
신규등록자,2015,중증화상,남,5~9,206
신규등록자,2015,중증화상,남,10~14,103
신규등록자,2015,중증화상,남,15~19,159
신규등록자,2015,중증화상,남,20~24,236
신규등록자,2015,중증화상,남,25~29,242
신규등록자,2015,중증화상,남,30~34,290
신규등록자,2015,중증화상,남,35~39,287
신규등록자,2015,중증화상,남,40~44,311
신규등록자,2015,중증화상,남,45~49,377
신규등록자,2015,중증화상,남,50~54,373
신규등록자,2015,중증화상,남,55~59,421
신규등록자,2015,중증화상,남,60~64,284
신규등록자,2015,중증화상,남,65~69,174
신규등록자,2015,중증화상,남,70~74,145
신규등록자,2015,중증화상,남,75~79,112
신규등록자,2015,중증화상,남,80~84,59
신규등록자,2015,중증화상,남,85~89,16
신규등록자,2015,중증화상,남,90~94,5
신규등록자,2015,중증화상,남,95~99,0
신규등록자,2015,중증화상,남,100 이상,0
신규등록자,2015,중증화상,여,0~4,702
신규등록자,2015,중증화상,여,5~9,159
신규등록자,2015,중증화상,여,10~14,89
신규등록자,2015,중증화상,여,15~19,123
신규등록자,2015,중증화상,여,20~24,177
신규등록자,2015,중증화상,여,25~29,171
신규등록자,2015,중증화상,여,30~34,211
신규등록자,2015,중증화상,여,35~39,200
신규등록자,2015,중증화상,여,40~44,263
신규등록자,2015,중증화상,여,45~49,319
신규등록자,2015,중증화상,여,50~54,446
신규등록자,2015,중증화상,여,55~59,428
신규등록자,2015,중증화상,여,60~64,311
신규등록자,2015,중증화상,여,65~69,228
신규등록자,2015,중증화상,여,70~74,199
신규등록자,2015,중증화상,여,75~79,162
신규등록자,2015,중증화상,여,80~84,103
신규등록자,2015,중증화상,여,85~89,45
신규등록자,2015,중증화상,여,90~94,11
신규등록자,2015,중증화상,여,95~99,1
신규등록자,2015,중증화상,여,100 이상,0
신규등록자,2016,중증화상,남,0~4,1135
신규등록자,2016,중증화상,남,5~9,212
신규등록자,2016,중증화상,남,10~14,150
신규등록자,2016,중증화상,남,15~19,183
신규등록자,2016,중증화상,남,20~24,315
신규등록자,2016,중증화상,남,25~29,272
신규등록자,2016,중증화상,남,30~34,296
신규등록자,2016,중증화상,남,35~39,331
신규등록자,2016,중증화상,남,40~44,338
신규등록자,2016,중증화상,남,45~49,412
신규등록자,2016,중증화상,남,50~54,484
신규등록자,2016,중증화상,남,55~59,511
신규등록자,2016,중증화상,남,60~64,385
신규등록자,2016,중증화상,남,65~69,262
신규등록자,2016,중증화상,남,70~74,151
신규등록자,2016,중증화상,남,75~79,120
신규등록자,2016,중증화상,남,80~84,82
신규등록자,2016,중증화상,남,85~89,20
신규등록자,2016,중증화상,남,90~94,8
신규등록자,2016,중증화상,남,95~99,1
신규등록자,2016,중증화상,남,100 이상,0
신규등록자,2016,중증화상,여,0~4,775
신규등록자,2016,중증화상,여,5~9,235
신규등록자,2016,중증화상,여,10~14,115
신규등록자,2016,중증화상,여,15~19,148
신규등록자,2016,중증화상,여,20~24,261
신규등록자,2016,중증화상,여,25~29,217
신규등록자,2016,중증화상,여,30~34,256
신규등록자,2016,중증화상,여,35~39,283
신규등록자,2016,중증화상,여,40~44,308
신규등록자,2016,중증화상,여,45~49,380
신규등록자,2016,중증화상,여,50~54,445
